"magazine_id","State","sample_issue_date","sample_period_end_date","num_mail_subscriptions","num_single_copy_sales"
"1","Alabama","1928-01-01","1928-06-30",,"515"
"1","Alabama","1928-10-01","1928-12-31","2","621"
"1","Alabama","1929-02-01","1929-06-30","2","676"
"1","Alabama","1929-11-01","1929-12-31",,"791"
"1","Alabama","1930-08-01","1930-12-31","2","592"
"1","Alabama","1930-10-01","1930-06-30",,"742"
"1","Alabama","1931-04-01","1931-06-30","1","442"
"7","Alabama","1930-11-08","1930-12-31","121","131"
"7","Alabama","1935-11-16","1935-12-31","173","151"
"7","Alabama","1940-03-16","1940-06-30","258","114"
"1","Arizona","1928-01-01","1928-06-30",,"226"
"1","Arizona","1928-10-01","1928-12-31","1","216"
"1","Arizona","1929-02-01","1929-06-30","1","263"
"1","Arizona","1929-11-01","1929-12-31","4","467"
"1","Arizona","1930-08-01","1930-12-31","3","396"
"1","Arizona","1930-10-01","1930-06-30","3","442"
"1","Arizona","1931-04-01","1931-06-30","1","280"
"7","Arizona","1925-11-28","1925-12-31","1",
"7","Arizona","1930-11-08","1930-12-31","78","123"
"7","Arizona","1935-11-16","1935-12-31","151","125"
"7","Arizona","1940-03-16","1940-06-30","304","146"
"1","Arkansas","1928-01-01","1928-06-30",,"387"
"1","Arkansas","1928-10-01","1928-12-31","3","590"
"1","Arkansas","1929-02-01","1929-06-30","3","747"
"1","Arkansas","1929-11-01","1929-12-31","4","711"
"1","Arkansas","1930-08-01","1930-12-31","6","509"
"1","Arkansas","1930-10-01","1930-06-30","4","679"
"1","Arkansas","1931-04-01","1931-06-30","5","314"
"7","Arkansas","1930-11-08","1930-12-31","58","64"
"7","Arkansas","1935-11-16","1935-12-31","92","85"
"7","Arkansas","1940-03-16","1940-06-30","167","70"
"1","California","1928-01-01","1928-06-30",,"8753"
"1","California","1928-10-01","1928-12-31","32","7399"
"1","California","1929-02-01","1929-06-30","37","8747"
"1","California","1929-11-01","1929-12-31","35","10401"
"1","California","1930-08-01","1930-12-31","40","8418"
"1","California","1930-10-01","1930-06-30","32","9976"
"1","California","1931-04-01","1931-06-30","34","6673"
"7","California","1925-11-28","1925-12-31","42",
"7","California","1930-11-08","1930-12-31","2632","2843"
"7","California","1935-11-16","1935-12-31","4113","3077"
"7","California","1940-03-16","1940-06-30","6597","3019"
"1","Colorado","1928-01-01","1928-06-30",,"1674"
"1","Colorado","1928-10-01","1928-12-31","2","1049"
"1","Colorado","1929-02-01","1929-06-30","2","1128"
"1","Colorado","1929-11-01","1929-12-31","5","1576"
"1","Colorado","1930-08-01","1930-12-31","5","1044"
"1","Colorado","1930-10-01","1930-06-30","3","1506"
"1","Colorado","1931-04-01","1931-06-30","5","674"
"7","Colorado","1925-11-28","1925-12-31","6",
"7","Colorado","1930-11-08","1930-12-31","213","179"
"7","Colorado","1935-11-16","1935-12-31","364","153"
"7","Colorado","1940-03-16","1940-06-30","575","201"
"1","Connecticut","1928-01-01","1928-06-30",,"1803"
"1","Connecticut","1928-10-01","1928-12-31","6","1869"
"1","Connecticut","1929-02-01","1929-06-30","7","2343"
"1","Connecticut","1929-11-01","1929-12-31","10","2363"
